593,567,596,606,645,653,653,742,689,863,905,997,1088,995,818,746,677,704,663,617,653,565,636,570,608
588,579,605,632,605,629,606,731,690,837,918,961,1110,952,861,740,716,687,663,598,605,602,620,579,567
611,617,612,616,617,652,679,731,762,817,998,969,1062,962,893,797,768,700,654,651,597,634,574,627,624
606,566,639,593,633,573,737,691,806,758,986,1034,1162,1012,834,860,696,740,623,668,590,597,543,623,554
554,609,611,626,639,649,749,708,790,813,909,958,1189,1129,1045,902,873,758,682,678,609,600,638,612,559
568,652,594,612,578,651,666,771,792,831,925,1062,1111,950,866,822,760,683,679,618,662,648,634,575,639
617,612,628,605,660,652,706,697,888,827,1001,1064,1083,940,887,787,835,695,621,659,548,658,574,619,591
591,611,565,617,615,644,614,687,683,754,894,916,1126,1003,986,833,788,682,712,660,666,578,587,557,606
579,605,615,582,606,642,655,662,720,781,879,927,1064,1003,964,822,756,688,749,615,626,671,541,625,584
619,560,569,592,594,579,644,636,726,748,871,908,1042,1017,867,840,726,724,637,653,613,624,555,619,594
