1079,925,861,740,708,671,604,568,486,521,481,510,492
1010,987,940,822,811,662,610,531,554,561,534,486,525
1139,1032,992,777,771,704,640,622,569,498,481,531,469
1184,977,859,721,727,585,613,534,569,463,532,492,482
1091,941,920,709,716,578,612,579,531,551,514,550,512
1151,1012,977,769,756,635,636,548,525,487,501,446,447
1122,951,891,735,723,604,614,510,498,506,518,453,463
1093,885,894,726,692,546,619,513,578,502,514,488,473
1113,1022,898,900,737,624,636,555,561,521,556,487,485
1089,1018,940,748,749,660,619,516,539,544,554,458,492
1073,996,920,740,755,638,680,563,510,653,542,491,464
